estilo,era,origen,fermentacion,color,intensidad,sabor,ibu_prom,abv_prom_%,cluster,nombre_cluster
american pale ale,Craft,North America,ale,clara,media,amarga,40.0,5.35,1,Intensas y Amargas (IPAs)
american lager,Traditional,United States,lager,clara,media,balanceada,13.0,4.75,0,Refrescantes y Ligeras
weissbier,Traditional,Central Europe,ale,clara,media,maltosa,11.5,4.95,0,Refrescantes y Ligeras
irish stout,Traditional,Ireland,ale,oscura,media,amarga,35.0,4.4,0,Refrescantes y Ligeras
american ipa,Craft,North America,ale,clara,intensa,amarga,55.0,6.5,1,Intensas y Amargas (IPAs)
belgian ipa,Craft,North America,ale,clara,intensa,amarga,75.0,7.85,3,Equilibradas y Maltosas
black ipa,Craft,North America,ale,oscura,intensa,amarga,70.0,7.25,3,Equilibradas y Maltosas
brown ipa,Craft,North America,ale,oscura,intensa,amarga,55.0,6.5,1,Intensas y Amargas (IPAs)
red ipa,Craft,North America,ale,ambar,intensa,amarga,55.0,6.5,1,Intensas y Amargas (IPAs)
rye ipa,Craft,North America,ale,ambar,intensa,amarga,62.5,6.75,1,Intensas y Amargas (IPAs)
white ipa,Craft,North America,ale,clara,intensa,amarga,55.0,6.25,1,Intensas y Amargas (IPAs)
brut ipa,Craft,North America,ale,clara,intensa,amarga,25.0,6.75,0,Refrescantes y Ligeras
hazy ipa,Craft,North America,ale,clara,intensa,amarga,42.5,7.5,1,Intensas y Amargas (IPAs)
american porter,Craft,North America,ale,oscura,media,amarga,37.5,5.65,1,Intensas y Amargas (IPAs)
american stout,Craft,North America,ale,oscura,intensa,amarga,55.0,6.0,1,Intensas y Amargas (IPAs)
imperial stout,Craft,Great Britain,ale,oscura,muy intensa,amarga,70.0,10.0,3,Equilibradas y Maltosas
belgian blond ale,Traditional,Belgium,ale,clara,intensa,balanceada,22.5,6.75,0,Refrescantes y Ligeras
belgian golden strong ale,Traditional,Belgium,ale,clara,muy intensa,amarga,28.5,9.0,2,Robustas y Alcohólicas
american amber ale,Craft,North America,ale,ambar,media,balanceada,32.5,5.35,0,Refrescantes y Ligeras
california common,Traditional,North America,lager,ambar,media,amarga,37.5,5.0,0,Refrescantes y Ligeras
