URL,País de origen,Productor,Fermentación,Estilo,Graduación,IBU
https://thecapitalbeer.com/product/cerveza-alemana-ac-dc-lata-568-ml/,Alemania,Karlsberg Brauerei,Lager,Pilsner,5%,15
https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-botella-330-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-botella-500-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-lata-500-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-barril-5-litros-2/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-lata-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/estuche-de-cerveza-belga-chimay/,,,,,,
https://thecapitalbeer.com/product/estuche-de-cerveza-belga-delirium/,,,,,,
https://thecapitalbeer.com/product/estuche-de-cerveza-belga-gulden-draak/,,,,,,
https://thecapitalbeer.com/product/estuche-de-cerveza-escocesa-brewdog/,,,,,,
https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-barril-5-litros-2/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-lata-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-barril-5-litros/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
https://thecapitalbeer.com/product/cerveza-alemana-bitburger-drive-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,"0,0",
https://thecapitalbeer.com/product/cerveza-alemana-clausthaler-alkoholfrei-botella-330-ml/,Alemania,,Lager,Sin Alcohol,0º a 1º,
https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-pilsener-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Lager,Pilsener,4.8%,13
https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-hefeweizen-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Ale,Hefe Weizen,5.2%,13
https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-dunkel-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Ale,Weizen Dunkel,5.0%,14
