Nombre,Precio,URL,País de origen,Productor,Fermentación,Estilo,Graduación,IBU
CERVEZA ALEMANA AC DC LATA 568 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-ac-dc-lata-568-ml/,Alemania,Karlsberg Brauerei,Lager,Pilsner,5%,15
CERVEZA ALEMANA BENEDIKTINER WEISSBIER BOTELLA 330 ML,$ 11.000,https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-botella-330-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
CERVEZA ALEMANA BENEDIKTINER WEISSBIER BOTELLA 500 ML,$ 14.000,https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-botella-500-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
CERVEZA ALEMANA BENEDIKTINER WEISSBIER LATA 500 ML,$ 12.000,https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-lata-500-ml/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
CERVEZA ALEMANA BENEDIKTINER WEISSBIER BARRIL 5 LITROS,$ 125.000,https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-barril-5-litros-2/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
CERVEZA ALEMANA BITBURGER BOTELLA 330 ML,$ 9.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER BOTELLA 500 ML,$ 13.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER LATA 500 ML,$ 12.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-lata-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
ESTUCHE DE CERVEZA BELGA CHIMAY,$ 99.000,https://thecapitalbeer.com/product/estuche-de-cerveza-belga-chimay/,,,,,,
ESTUCHE DE CERVEZA BELGA DELIRIUM,$ 110.000,https://thecapitalbeer.com/product/estuche-de-cerveza-belga-delirium/,,,,,,
ESTUCHE DE CERVEZA BELGA GULDEN DRAAK,$ 70.000,https://thecapitalbeer.com/product/estuche-de-cerveza-belga-gulden-draak/,,,,,,
ESTUCHE DE CERVEZA ESCOCESA BREWDOG,$ 55.000,https://thecapitalbeer.com/product/estuche-de-cerveza-escocesa-brewdog/,,,,,,
CERVEZA ALEMANA BENEDIKTINER WEISSBIER BARRIL 5 LITROS,$ 125.000,https://thecapitalbeer.com/product/cerveza-alemana-benediktiner-weissbier-barril-5-litros-2/,Ettay Abbey – Alemania,Benediktiner Weissbräu GmbH,Ale,Weissbier,5.4%,13
CERVEZA ALEMANA BITBURGER BOTELLA 330 ML,$ 9.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER BOTELLA 500 ML,$ 13.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-botella-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER LATA 500 ML,$ 12.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-lata-500-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER BARRIL 5 LITROS,$ 125.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-barril-5-litros/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,4.8%,38
CERVEZA ALEMANA BITBURGER DRIVE BOTELLA 330 ML,$ 9.000,https://thecapitalbeer.com/product/cerveza-alemana-bitburger-drive-botella-330-ml/,Bitburg – Alemania,Bitburger Braugruppe GMBH,Lager,Pilsner,"0,0",
CERVEZA ALEMANA CLAUSTHALER ALKOHOLFREI BOTELLA 330 ML,,https://thecapitalbeer.com/product/cerveza-alemana-clausthaler-alkoholfrei-botella-330-ml/,Alemania,,Lager,Sin Alcohol,0º a 1º,
CERVEZA ALEMANA EICHBAUM PILSENER LATA 500 ML,$ 9.500,https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-pilsener-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Lager,Pilsener,4.8%,13
CERVEZA ALEMANA EICHBAUM HEFEWEIZEN LATA 500 ML,$ 12.500,https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-hefeweizen-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Ale,Hefe Weizen,5.2%,13
CERVEZA ALEMANA EICHBAUM DUNKEL LATA 500 ML,$ 12.500,https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-dunkel-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Ale,Weizen Dunkel,5.0%,14
CERVEZA ALEMANA EICHBAUM EXTRA STOUT LATA 500 ML,$ 12.500,https://thecapitalbeer.com/product/cerveza-alemana-eichbaum-extra-stout-lata-500-ml/,Mannheim – Alemania,Eichbaum GmbH & Co. KG,Ale,Imperial Stout,7.5%,13
CERVEZA ALEMANA ERDINGER WEISSBIER BOTELLA 330 ML,$ 12.000,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-weissbier-botella-330-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,German Weissbier,5.3%,13
CERVEZA ALEMANA ERDINGER DUNKEL BOTELLA 330 ML,$ 12.000,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-dunkel-botella-330-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Dunkel,5.3%,14
CERVEZA ALEMANA ERDINGER DUNKEL BOTELLA 500 ML,$ 16.500,https://thecapitalbeer.com/product/cerveza-alemana-erdinger-dunkel-botella-500-ml/,Erding – Alemania,Erdinger Weissbräu,Ale,Dunkel,5.3%,14
